id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm71993,The Secret of the Magic Gourd,MOVIE,"When schoolboy  Wang Bao discovers a magical gourd that can instantly grant his every wish, the awkward child suddenly becomes a hero amongst his curious classmates. When the gourd proves more of a burden than a blessing and the boy decides to get rid of it, he quickly discovers that's easier said than done.",2007,G,85,"['fantasy', 'drama', 'family']","['CN', 'HK', 'US']",0,tt0496386,5.1,783,22.202,7.4
tm138513,Trail of the Panda,MOVIE,"From the Disney World Cinema Collection, Trail of the Panda is a heart-warming story about enduring friendship between a boy and a panda cub.",2009,G,88,['family'],['CN'],0,tt1247700,6.3,234,2.795,8.1
tm82585,Home on the Range,MOVIE,"When a greedy outlaw schemes to take possession of the ""Patch Of Heaven"" dairy farm, three determined cows, a karate-kicking stallion and a colorful corral of critters join forces to save their home. The stakes are sky-high as this unlikely animal alliance risk their hides and match wits with a mysterious band of bad guys.",2004,PG,76,"['animation', 'family', 'comedy', 'western', 'music']",['US'],0,tt0299172,5.4,24124,45.349,6
tm83783,The Game Plan,MOVIE,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",2007,PG,110,"['comedy', 'family', 'sport']",['US'],0,tt0492956,6.2,84530,40.585,6.4
tm168452,Herbie Fully Loaded,MOVIE,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.",2005,G,101,"['romance', 'comedy', 'family', 'fantasy', 'sport']",['US'],0,tt0400497,4.9,48921,28.617,5.7
tm164059,Ice Princess,MOVIE,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey from realizing her dream to be a champion figure skater.",2005,G,98,"['drama', 'comedy', 'family', 'sport']","['CA', 'US']",0,tt0396652,6,27846,13.533,6.393
tm33681,Eight Below,MOVIE,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",2006,PG,120,"['drama', 'family']",['US'],0,tt0397313,7.3,66069,14.841,6.984
ts22266,Phil of the Future,SHOW,"Meet the Diffy family, a futuristic family from the year 2121. When the eccentric dad, Lloyd, rents a time machine for their family vacation, everyone is excited. But then something goes wrong. Their time machine malfunctions and they are thrown out of the space/time continuum in the year 2004.",2004,TV-PG,22,"['scifi', 'comedy', 'family']",['US'],2,tt0340281,7,7708,28.567,7.4
tm130570,Piglet's Big Movie,MOVIE,"When the gang from the Hundred Acre Wood begin a honey harvest, young Piglet is excluded and told that he is too small to help. Feeling inferior, Piglet disappears and his pals Eeyore, Rabbit, Tigger, Roo and Winnie the Pooh must use Piglet's scrapbook as a map to find him. In the process they discover that this very small animal has been a big hero in a lot of ways.",2003,G,75,"['family', 'animation', 'comedy']",['US'],0,tt0323642,6.1,8183,14.948,6.715
tm36356,Max Keeble's Big Move,MOVIE,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.",2001,G,83,"['comedy', 'crime', 'family']",['US'],0,tt0273799,5.4,8334,11.835,5.767
